Group,Filename,Full_Path,Ch0_Intensity,Ch0_LaplacianVar,Ch1_Intensity,Ch1_LaplacianVar,Ch2_Intensity,Ch2_LaplacianVar,Num_Channels
SNCA x3,003002_r06c10f10_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f10_Composite_RGB.tif,2757.9707621742114,3691727.1944754235,871.2535579561043,330711.96995182906,1307.0276946159122,39167.65659049928,3
SNCA x3,003002_r06c10f11_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f11_Composite_RGB.tif,7363.278097565158,23814160.784278005,3022.4245053155005,3670934.186051501,3190.513339334705,251717.92017571512,3
SNCA x3,003002_r06c10f12_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f12_Composite_RGB.tif,4397.625482681756,9205761.431302456,1992.912247085048,1266615.4949594338,2528.211253429355,148434.0924329153,3
SNCA x3,003002_r06c10f13_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f13_Composite_RGB.tif,6126.861717249657,18080563.790316455,2842.56428069273,3385487.9988489263,3320.7554981138546,317445.1122644247,3
SNCA x3,003002_r06c10f15_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c10f15_Composite_RGB.tif,5997.314070644718,17174687.57039367,2708.9117781207133,2442801.284364673,2547.758021262003,190016.53018843013,3
SNCA x3,003002_r06c11f01_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c11f01_Composite_RGB.tif,6295.9663203017835,19270875.570719313,2351.3665655006857,2311220.6538258824,2633.092479423868,183173.5534334464,3
SNCA x3,003002_r06c11f02_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c11f02_Composite_RGB.tif,3487.3473096707817,6235092.984430255,1054.6151723251028,575155.3862349788,1307.1545001714678,29326.402718388177,3
SNCA x3,003002_r06c11f03_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c11f03_Composite_RGB.tif,5402.951977880659,28581557.05000528,4136.63190414952,5095785.321671013,2820.738950617284,303959.70069324697,3
SNCA x3,003002_r06c11f04_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c11f04_Composite_RGB.tif,5732.846844135803,29947986.58301302,4248.990233196159,5456083.042402662,2993.1258676268862,298250.28142886114,3
SNCA x3,003002_r06c11f05_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c11f05_Composite_RGB.tif,4606.17249228395,17078935.063740242,3185.6021982167354,3017927.0267806537,2455.2643818587107,236966.65098314462,3
SNCA x3,003002_r06c11f06_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c11f06_Composite_RGB.tif,5896.117635459534,24693501.8211578,2442.2587337105624,3337209.667542277,2880.367854080933,236140.12274929162,3
SNCA x3,003002_r06c11f07_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c11f07_Composite_RGB.tif,5380.611595507545,19728262.91194714,1898.8491941015088,2050658.3770917242,2377.1875600137173,154085.81322622314,3
SNCA x3,003002_r06c11f08_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c11f08_Composite_RGB.tif,1648.544900548697,6320501.8287049495,1709.4992832647463,953638.56041515,1237.4253755144032,124343.30392246202,3
SNCA x3,003002_r06c11f09_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c11f09_Composite_RGB.tif,5461.747033607682,15817848.978027109,2936.6570104595335,2945618.8105165716,2723.970811042524,212621.18755557225,3
SNCA x3,003002_r06c11f10_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003002_r06c11f10_Composite_RGB.tif,3135.856775548697,4120176.8492991114,1049.7361874142662,437514.2528669949,1441.7650222908094,36714.84584905838,3
